week_day,hour,heatdata
Sat,23,"[0.29292929292929293, 1.7878787878787878]"
Sun,0,"[0.29807692307692313, 2.3461538461538463]"
Sun,6,"[0.050000000000000044, 0.16]"
Sun,7,"[0.23529411764705888, 1.6568627450980393]"
Sun,8,"[0.26, 1.73]"
Sun,9,"[0.20792079207920788, 1.8613861386138615]"
Sun,10,"[0.3465346534653465, 2.6633663366336635]"
Sun,11,"[0.4019607843137255, 2.823529411764706]"
Sun,12,"[0.23529411764705888, 1.7843137254901962]"
Sun,13,"[0.39603960396039606, 3.603960396039604]"
Sun,14,"[0.27450980392156865, 2.656862745098039]"
Sun,15,"[0.47058823529411764, 4.764705882352941]"
Sun,16,"[0.42000000000000004, 3.8]"
Sun,17,"[0.38613861386138615, 3.5346534653465347]"
Sun,18,"[0.2828282828282829, 2.95959595959596]"
Sun,19,"[0.52, 4.65]"
Sun,20,"[0.33333333333333337, 3.0784313725490198]"
Sun,21,"[0.4271844660194175, 3.912621359223301]"
Sun,22,"[0.29702970297029707, 2.4455445544554455]"
Sun,23,"[0.30000000000000004, 3.05]"
Thu,0,"[0.25, 0.5]"
Thu,5,"[0.1188118811881188, 0.6534653465346535]"
Thu,6,"[0.458128078817734, 1.2610837438423645]"
Thu,7,"[0.29702970297029707, 1.8613861386138615]"
Thu,8,"[0.7134387351778656, 5.067193675889328]"
Thu,9,"[0.6666666666666667, 4.023102310231023]"
Thu,10,"[0.37810945273631846, 2.0696517412935322]"
Thu,11,"[0.6108374384236452, 4.399014778325123]"
Thu,12,"[0.5339805825242718, 3.4174757281553396]"
Thu,13,"[0.5339805825242718, 3.378640776699029]"
Thu,14,"[0.43137254901960786, 2.215686274509804]"
Thu,15,"[0.4563106796116505, 3.0194174757281553]"
Thu,16,"[0.31658291457286436, 1.5778894472361809]"
Thu,17,"[0.4375, 2.265625]"
Thu,18,"[0.791044776119403, 7.681592039800995]"
Thu,19,"[0.4285714285714286, 3.773399014778325]"
Thu,20,"[0.2450980392156863, 2.107843137254902]"
Thu,21,"[0.4554455445544554, 5.410891089108911]"
Thu,22,"[0.0, 0.0]"
Thu,23,"[0.7156862745098039, 6.411764705882353]"
Tue,0,"[0.0, 0.0]"
Tue,5,"[0.0980392156862745, 0.7843137254901961]"
Tue,6,"[0.5024390243902439, 1.526829268292683]"
Tue,7,"[0.35, 2.29]"
Tue,8,"[0.7465618860510805, 4.960707269155206]"
Tue,9,"[0.694078947368421, 4.569078947368421]"
Tue,10,"[0.4433497536945813, 3.251231527093596]"
Tue,11,"[0.5804878048780489, 4.190243902439025]"
Tue,12,"[0.49514563106796117, 3.8155339805825244]"
Tue,13,"[0.5288461538461539, 4.519230769230769]"
Tue,14,"[0.3942307692307693, 2.3173076923076925]"
Tue,15,"[0.5145631067961165, 3.6990291262135924]"
Tue,16,"[0.33168316831683164, 2.277227722772277]"
Tue,17,"[0.49473684210526314, 2.710526315789474]"
Tue,18,"[0.8118811881188119, 7.193069306930693]"
Tue,19,"[0.31999999999999995, 4.375]"
Tue,20,"[0.38235294117647056, 5.0588235294117645]"
Tue,21,"[0.45145631067961167, 4.87378640776699]"
Tue,22,"[0.0, 0.0]"
Tue,23,"[0.7019230769230769, 6.125]"
Wed,0,"[0.0, 0.0]"
Wed,5,"[0.173469387755102, 0.9387755102040817]"
Wed,6,"[0.44221105527638194, 1.7135678391959799]"
Wed,7,"[0.32984293193717273, 1.3193717277486912]"
Wed,8,"[0.7280163599182004, 4.558282208588957]"
Wed,9,"[0.6576271186440679, 3.4237288135593222]"
Wed,10,"[0.36180904522613067, 2.407035175879397]"
Wed,11,"[0.5879396984924623, 4.271356783919598]"
Wed,12,"[0.5825242718446602, 2.9611650485436893]"
Wed,13,"[0.48514851485148514, 2.6831683168316833]"
Wed,14,"[0.43137254901960786, 2.264705882352941]"
Wed,15,"[0.4509803921568627, 3.3529411764705883]"
Wed,16,"[0.33999999999999997, 1.15]"
Wed,17,"[0.4521276595744681, 2.356382978723404]"
Wed,18,"[0.7755102040816326, 6.88265306122449]"
Wed,19,"[0.40796019900497515, 5.36318407960199]"
Wed,20,"[0.27450980392156865, 2.5588235294117645]"
Wed,21,"[0.47, 5.325]"
Wed,22,"[0.0, 0.0]"
Wed,23,"[0.7058823529411764, 5.794117647058823]"
