week_day,hour,heatdata
Sun,6,"[0.05882352941176472, 0.8431372549019608]"
Sun,7,"[0.05882352941176472, 1.4705882352941178]"
Sun,8,"[0.2364532019704434, 1.5862068965517242]"
Sun,9,"[0.2549019607843137, 1.5]"
Sun,10,"[0.41500000000000004, 3.165]"
Sun,11,"[0.3137254901960784, 1.8872549019607843]"
Sun,12,"[0.3932038834951457, 3.087378640776699]"
Sun,13,"[0.3932038834951457, 2.7135922330097086]"
Sun,14,"[0.33990147783251234, 2.0591133004926108]"
Sun,15,"[0.38235294117647056, 3.176470588235294]"
Sun,16,"[0.46153846153846156, 4.408653846153846]"
Sun,17,"[0.49029126213592233, 4.339805825242719]"
Sun,18,"[0.47596153846153844, 3.5096153846153846]"
Sun,19,"[0.3578431372549019, 3.049019607843137]"
Sun,20,"[0.34615384615384615, 3.855769230769231]"
Sun,21,"[0.2524271844660194, 2.5533980582524274]"
Sun,22,"[0.14423076923076927, 1.0961538461538463]"
Sun,23,"[0.17307692307692313, 1.8076923076923077]"
Thu,0,"[0.24456521739130432, 1.434782608695652]"
Thu,1,"[0.25531914893617025, 2.021276595744681]"
Thu,2,"[0.2142857142857143, 1.1428571428571428]"
Thu,5,"[0.14851485148514854, 0.8861386138613861]"
Thu,6,"[0.2535787321063395, 1.2842535787321063]"
Thu,7,"[0.39375000000000004, 2.00125]"
Thu,8,"[0.861850443599493, 5.76425855513308]"
Thu,9,"[0.6628498727735369, 5.052162849872774]"
Thu,10,"[0.5108359133126935, 4.591331269349845]"
Thu,11,"[0.575609756097561, 5.907317073170732]"
Thu,12,"[0.22857142857142854, 2.533333333333333]"
Thu,13,"[0.5686274509803921, 2.9869281045751634]"
Thu,14,"[0.24878048780487805, 2.351219512195122]"
Thu,15,"[0.2277227722772277, 1.9653465346534653]"
Thu,16,"[0.5184275184275184, 2.941031941031941]"
Thu,17,"[0.6715686274509804, 3.950980392156863]"
Thu,18,"[0.516, 4.094]"
Thu,19,"[0.5073170731707317, 4.0390243902439025]"
Thu,20,"[0.2935323383084577, 2.5621890547263684]"
Thu,21,"[0.18446601941747576, 1.5631067961165048]"
Thu,22,"[0.25082508250825086, 3.5445544554455446]"
Thu,23,"[0.7227722772277227, 2.3267326732673266]"
Tue,0,"[0.18461538461538463, 1.564102564102564]"
Tue,1,"[0.24271844660194175, 2.6990291262135924]"
Tue,2,"[0.19999999999999996, 2.6]"
Tue,5,"[0.12121212121212122, 0.6919191919191919]"
Tue,6,"[0.23662551440329216, 1.2695473251028806]"
Tue,7,"[0.39751552795031053, 1.88944099378882]"
Tue,8,"[0.8461538461538461, 6.006305170239597]"
Tue,9,"[0.7089084065244667, 5.292346298619824]"
Tue,10,"[0.4181818181818182, 3.8878787878787877]"
Tue,11,"[0.5, 3.6601941747572817]"
Tue,12,"[0.19811320754716977, 1.7924528301886793]"
Tue,13,"[0.5551948051948052, 3.2435064935064934]"
Tue,14,"[0.20192307692307687, 1.5769230769230769]"
Tue,15,"[0.16256157635467983, 1.4039408866995073]"
Tue,16,"[0.5580246913580247, 3.4814814814814814]"
Tue,17,"[0.6188118811881188, 3.297029702970297]"
Tue,18,"[0.5179282868525896, 2.7888446215139444]"
Tue,19,"[0.4444444444444444, 3.36231884057971]"
Tue,20,"[0.29756097560975614, 2.15609756097561]"
Tue,21,"[0.1747572815533981, 1.1359223300970873]"
Tue,22,"[0.23509933774834435, 1.7880794701986755]"
Tue,23,"[0.7211538461538461, 3.826923076923077]"
Wed,0,"[0.15000000000000002, 1.5]"
Wed,1,"[0.08333333333333337, 0.16666666666666666]"
Wed,2,"[0.18279569892473113, 2.6344086021505375]"
Wed,5,"[0.11616161616161613, 0.9646464646464646]"
Wed,6,"[0.23275862068965514, 1.3836206896551724]"
Wed,7,"[0.37176165803108807, 1.7085492227979275]"
Wed,8,"[0.8451443569553806, 5.833333333333333]"
Wed,9,"[0.6570680628272252, 4.522251308900524]"
Wed,10,"[0.485981308411215, 4.193146417445483]"
Wed,11,"[0.5, 4.367647058823529]"
Wed,12,"[0.13084112149532712, 0.9345794392523364]"
Wed,13,"[0.5457516339869282, 2.7483660130718954]"
Wed,14,"[0.23300970873786409, 2.2524271844660193]"
Wed,15,"[0.22388059701492535, 1.4975124378109452]"
Wed,16,"[0.49257425742574257, 2.373762376237624]"
Wed,17,"[0.6585365853658536, 3.8146341463414632]"
Wed,18,"[0.5130260521042085, 2.9779559118236474]"
Wed,19,"[0.4223300970873787, 3.0145631067961167]"
Wed,20,"[0.35148514851485146, 2.5]"
Wed,21,"[0.15533980582524276, 1.3689320388349515]"
Wed,22,"[0.2222222222222222, 1.7272727272727273]"
Wed,23,"[0.73, 2.98]"
