level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
3964736,4422719,6320,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,09:12:00,2018-04-30,09:11:00,Mon
3964773,4422768,6318,4.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,08:38:00,2018-04-30,08:38:00,Mon
3966627,4424678,6674,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-04-30,21:56:00,2018-04-30,21:57:00,Mon
3966728,4424790,6616,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,08:26:00,2018-04-30,08:26:00,Mon
3966949,4425040,6620,10.0,South Orange,140.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,08:55:00,2018-04-30,08:54:00,Mon
3967059,4425153,6644,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,14:27:00,2018-04-30,14:26:00,Mon
3967106,4425200,6672,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,21:23:00,2018-04-30,21:23:00,Mon
3967405,4425519,6610,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,07:18:00,2018-04-30,07:18:00,Mon
3967444,4425561,6628,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-04-30,10:25:00,2018-04-30,10:26:00,Mon
3967654,4425785,6632,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,13.0,estimated,Morristown Line,NJ Transit,2018-04-30,11:26:00,2018-04-30,11:39:00,Mon
