index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
2697414,6674,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Morristown Line,NJ Transit,2018-08-07,21:56:00,2018-08-07,21:59:00,Tue
2697742,6610,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-08-07,07:18:00,2018-08-07,07:19:00,Tue
2697853,6628,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,10:25:00,2018-08-07,10:24:00,Tue
2697939,6644,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-08-07,14:27:00,2018-08-07,14:29:00,Tue
2698014,6672,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,18.0,estimated,Morristown Line,NJ Transit,2018-08-07,21:23:00,2018-08-07,21:41:00,Tue
2698172,6636,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,12:21:00,2018-08-07,12:21:00,Tue
2698577,6654,17.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,16:52:00,2018-08-07,16:51:00,Tue
2698666,6662,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,18:15:00,2018-08-07,18:14:00,Tue
2698804,6606,14.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2018-08-07,06:56:00,2018-08-07,07:00:00,Tue
2699130,6664,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,8.0,estimated,Morristown Line,NJ Transit,2018-08-07,18:42:00,2018-08-07,18:50:00,Tue
2699915,6328,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,10:40:00,2018-08-07,10:40:00,Tue
2700508,6320,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,6.0,estimated,Morristown Line,NJ Transit,2018-08-07,09:12:00,2018-08-07,09:18:00,Tue
2700606,6318,4.0,Brick Church,23.0,New York Penn Station,105.0,11.0,estimated,Morristown Line,NJ Transit,2018-08-07,08:38:00,2018-08-07,08:49:00,Tue
2701389,6332,10.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,10.0,estimated,Morristown Line,NJ Transit,2018-08-07,11:19:00,2018-08-07,11:29:00,Tue
2701878,6670,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-08-07,20:27:00,2018-08-07,20:29:00,Tue
2701935,6648,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,15:24:00,2018-08-07,15:23:00,Tue
2702082,6612,12.0,Maplewood,81.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,07:32:00,2018-08-07,07:32:00,Tue
2702301,6624,14.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-08-07,09:31:00,2018-08-07,09:33:00,Tue
2702402,6640,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,7.0,estimated,Morristown Line,NJ Transit,2018-08-07,13:27:00,2018-08-07,13:34:00,Tue
2702423,6676,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,23:02:00,2018-08-07,23:01:00,Tue
2702736,6614,10.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-08-07,08:05:00,2018-08-07,08:07:00,Tue
2702914,6670,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-08,20:27:00,2018-08-08,20:26:00,Wed
2703022,6648,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-08,15:24:00,2018-08-08,15:23:00,Wed
2703171,6612,12.0,Maplewood,81.0,New York Penn Station,105.0,3.0,estimated,Morristown Line,NJ Transit,2018-08-08,07:32:00,2018-08-08,07:35:00,Wed
2703361,6624,14.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-08,09:31:00,2018-08-08,09:30:00,Wed
2703477,6640,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,9.0,estimated,Morristown Line,NJ Transit,2018-08-08,13:27:00,2018-08-08,13:36:00,Wed
2703496,6676,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-08,23:02:00,2018-08-08,23:01:00,Wed
2703821,6614,10.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-08,08:05:00,2018-08-08,08:03:00,Wed
