index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
2196427,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,16.000000000000004,estimated,Montclair-Boonton,NJ Transit,2019-05-06,21:00:00,2019-05-06,21:16:00,Mon
2196578,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,17:10:00,2019-05-06,17:15:00,Mon
2196842,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.000000000000001,estimated,Montclair-Boonton,NJ Transit,2019-05-06,20:16:00,2019-05-06,20:20:00,Mon
2197167,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,17:57:00,2019-05-06,17:56:00,Mon
2197236,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,07:40:00,2019-05-06,07:39:00,Mon
2197385,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,12:44:00,2019-05-06,12:43:00,Mon
2197956,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,05:32:00,2019-05-06,05:31:00,Mon
2198056,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,14:49:00,2019-05-06,14:48:00,Mon
2199520,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Montclair-Boonton,NJ Transit,2019-05-07,09:50:00,2019-05-07,09:51:00,Tue
2199574,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,15:48:00,2019-05-07,15:47:00,Tue
2199847,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,22:05:00,2019-05-07,22:04:00,Tue
2199913,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,9.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,08:20:00,2019-05-07,08:29:00,Tue
