level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
1136643,1295674,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Raritan Valley,NJ Transit,2019-12-16,10:09:00,2019-12-16,10:11:00,Mon
1139473,1298813,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-16,21:13:00,2019-12-16,21:12:00,Mon
1139903,1299285,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-16,22:10:00,2019-12-16,22:09:00,Mon
1140956,1300495,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-16,14:13:00,2019-12-16,14:12:00,Mon
1141284,1300867,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-16,11:10:00,2019-12-16,11:09:00,Mon
1142765,1302427,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Raritan Valley,NJ Transit,2019-12-17,20:02:00,2019-12-17,20:08:00,Tue
1143094,1302824,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-17,12:12:00,2019-12-17,12:11:00,Tue
1143535,1303355,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-17,13:12:00,2019-12-17,13:11:00,Tue
1146183,1306354,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,14.0,estimated,Raritan Valley,NJ Transit,2019-12-17,10:09:00,2019-12-17,10:23:00,Tue
1146960,1307255,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-17,22:10:00,2019-12-17,22:09:00,Tue
1147374,1307702,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-17,21:13:00,2019-12-17,21:12:00,Tue
1149573,1310128,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-17,11:10:00,2019-12-17,11:09:00,Tue
1149899,1310483,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-17,14:13:00,2019-12-17,14:12:00,Tue
1150671,1311311,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-18,11:10:00,2019-12-18,11:09:00,Wed
1151051,1311739,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-18,14:13:00,2019-12-18,14:12:00,Wed
1153995,1314999,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-18,22:10:00,2019-12-18,22:09:00,Wed
1154357,1315392,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-18,21:13:00,2019-12-18,21:12:00,Wed
1155260,1316406,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Raritan Valley,NJ Transit,2019-12-18,10:09:00,2019-12-18,10:11:00,Wed
1158057,1319570,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-18,20:02:00,2019-12-18,20:01:00,Wed
1158288,1319846,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-18,12:12:00,2019-12-18,12:11:00,Wed
1158746,1320369,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-18,13:12:00,2019-12-18,13:11:00,Wed
1160229,1322029,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-19,14:13:00,2019-12-19,14:12:00,Thu
