level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
130964,148243,8404,22.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-21,07:11:00,2019-01-21,07:10:00,Mon
134113,151399,8406,22.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2019-01-21,07:54:00,2019-01-21,08:00:00,Mon
136362,153737,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-22,07:28:00,2019-01-22,07:27:00,Tue
143404,161414,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,5.0,estimated,Gladstone Branch,NJ Transit,2019-01-22,08:11:00,2019-01-22,08:16:00,Tue
144738,162926,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-23,07:28:00,2019-01-23,07:28:00,Wed
149362,168213,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,17.0,estimated,Gladstone Branch,NJ Transit,2019-01-23,08:11:00,2019-01-23,08:28:00,Wed
153110,172476,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-24,07:28:00,2019-01-24,07:27:00,Thu
156473,176211,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-01-24,08:11:00,2019-01-24,08:14:00,Thu
163127,183708,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-25,07:28:00,2019-01-25,07:27:00,Fri
163733,184390,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2019-01-25,08:11:00,2019-01-25,08:15:00,Fri
178311,200529,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-28,07:28:00,2019-01-28,07:28:00,Mon
181527,204149,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,11.0,estimated,Gladstone Branch,NJ Transit,2019-01-28,08:11:00,2019-01-28,08:22:00,Mon
187058,210416,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-29,07:28:00,2019-01-29,07:27:00,Tue
187900,211361,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,8.0,estimated,Gladstone Branch,NJ Transit,2019-01-29,08:11:00,2019-01-29,08:19:00,Tue
195386,220032,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-01-30,08:11:00,2019-01-30,08:14:00,Wed
196084,220795,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-30,07:28:00,2019-01-30,07:28:00,Wed
202382,227984,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,13.0,estimated,Gladstone Branch,NJ Transit,2019-01-31,08:11:00,2019-01-31,08:24:00,Thu
205548,231546,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-31,07:28:00,2019-01-31,07:27:00,Thu
210225,237057,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-02-01,08:11:00,2019-02-01,08:14:00,Fri
213131,240407,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-01,07:28:00,2019-02-01,07:27:00,Fri
233890,263874,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-02-05,07:28:00,2019-02-05,07:29:00,Tue
238656,269292,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,9.0,estimated,Gladstone Branch,NJ Transit,2019-02-05,08:11:00,2019-02-05,08:20:00,Tue
241256,272249,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2019-02-06,08:11:00,2019-02-06,08:17:00,Wed
246441,278133,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-06,07:28:00,2019-02-06,07:27:00,Wed
249098,281106,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-02-07,08:11:00,2019-02-07,08:14:00,Thu
256017,288964,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-07,07:28:00,2019-02-07,07:27:00,Thu
256964,290039,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-08,07:28:00,2019-02-08,07:28:00,Fri
264336,298486,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-02-08,08:11:00,2019-02-08,08:13:00,Fri
273718,308714,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,5.0,estimated,Gladstone Branch,NJ Transit,2019-02-11,08:11:00,2019-02-11,08:16:00,Mon
281238,317206,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-11,07:28:00,2019-02-11,07:27:00,Mon
281549,317569,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-12,07:28:00,2019-02-12,07:27:00,Tue
288400,325500,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,31.0,estimated,Gladstone Branch,NJ Transit,2019-02-12,08:11:00,2019-02-12,08:42:00,Tue
290680,328060,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-13,07:28:00,2019-02-13,07:27:00,Wed
295758,333902,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2019-02-13,08:11:00,2019-02-13,08:17:00,Wed
299901,338535,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-02-14,07:28:00,2019-02-14,07:31:00,Thu
302690,341745,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-02-14,08:11:00,2019-02-14,08:13:00,Thu
308033,347985,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2019-02-15,07:28:00,2019-02-15,07:34:00,Fri
309128,349252,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,14.0,estimated,Gladstone Branch,NJ Transit,2019-02-15,08:11:00,2019-02-15,08:25:00,Fri
322039,363603,8406,22.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-18,07:54:00,2019-02-18,07:53:00,Mon
324101,365835,8404,22.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-18,07:11:00,2019-02-18,07:11:00,Mon
330287,372538,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-19,07:28:00,2019-02-19,07:27:00,Tue
331281,373676,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,15.0,estimated,Gladstone Branch,NJ Transit,2019-02-19,08:11:00,2019-02-19,08:26:00,Tue
338281,381897,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-02-20,08:11:00,2019-02-20,08:14:00,Wed
338933,382639,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-20,07:28:00,2019-02-20,07:27:00,Wed
351759,398144,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-22,07:28:00,2019-02-22,07:28:00,Fri
374845,425538,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-02-26,08:11:00,2019-02-26,08:14:00,Tue
379707,431023,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-26,07:28:00,2019-02-26,07:27:00,Tue
380923,432405,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-02-27,08:11:00,2019-02-27,08:13:00,Wed
387947,440343,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-27,07:28:00,2019-02-27,07:27:00,Wed
388837,441419,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-02-28,07:28:00,2019-02-28,07:27:00,Thu
395593,449042,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2019-02-28,08:11:00,2019-02-28,08:17:00,Thu
400510,454833,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,10.0,estimated,Gladstone Branch,NJ Transit,2019-03-01,08:11:00,2019-03-01,08:21:00,Fri
401342,455779,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,7.0,estimated,Gladstone Branch,NJ Transit,2019-03-01,07:28:00,2019-03-01,07:35:00,Fri
414563,470498,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,8.0,estimated,Gladstone Branch,NJ Transit,2019-03-04,07:28:00,2019-03-04,07:36:00,Mon
419440,476508,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2019-03-04,08:11:00,2019-03-04,08:17:00,Mon
420562,477901,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-03-05,07:28:00,2019-03-05,07:29:00,Tue
427456,485757,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-03-05,08:11:00,2019-03-05,08:12:00,Tue
428765,487223,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,7.0,estimated,Gladstone Branch,NJ Transit,2019-03-06,08:11:00,2019-03-06,08:18:00,Wed
436256,495709,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-06,07:28:00,2019-03-06,07:27:00,Wed
438023,497764,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,8.0,estimated,Gladstone Branch,NJ Transit,2019-03-07,08:11:00,2019-03-07,08:19:00,Thu
442657,503037,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-07,07:28:00,2019-03-07,07:27:00,Thu
445734,506495,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-08,07:28:00,2019-03-08,07:27:00,Fri
451211,512673,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,30.0,estimated,Gladstone Branch,NJ Transit,2019-03-08,08:11:00,2019-03-08,08:41:00,Fri
462535,525069,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-03-11,08:11:00,2019-03-11,08:14:00,Mon
467680,531002,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-11,07:28:00,2019-03-11,07:28:00,Mon
471299,535039,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-12,07:28:00,2019-03-12,07:27:00,Tue
476022,540389,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-03-12,08:11:00,2019-03-12,08:13:00,Tue
477463,542073,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-13,07:28:00,2019-03-13,07:27:00,Wed
484949,550497,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-03-13,08:11:00,2019-03-13,08:13:00,Wed
488795,554753,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,16.0,estimated,Gladstone Branch,NJ Transit,2019-03-14,07:28:00,2019-03-14,07:44:00,Thu
489659,555789,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,8.0,estimated,Gladstone Branch,NJ Transit,2019-03-14,08:11:00,2019-03-14,08:19:00,Thu
496164,563146,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-15,07:28:00,2019-03-15,07:27:00,Fri
499334,566779,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-03-15,08:11:00,2019-03-15,08:12:00,Fri
514288,583379,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-18,07:28:00,2019-03-18,07:27:00,Mon
514942,584171,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,9.0,estimated,Gladstone Branch,NJ Transit,2019-03-18,08:11:00,2019-03-18,08:20:00,Mon
520517,590507,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-19,07:28:00,2019-03-19,07:27:00,Tue
523782,594152,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-03-19,08:11:00,2019-03-19,08:13:00,Tue
529497,600738,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2019-03-20,08:11:00,2019-03-20,08:15:00,Wed
532551,604168,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-20,07:28:00,2019-03-20,07:27:00,Wed
537949,610329,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,22.0,estimated,Gladstone Branch,NJ Transit,2019-03-21,08:11:00,2019-03-21,08:33:00,Thu
538910,611432,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-21,07:28:00,2019-03-21,07:27:00,Thu
546484,619767,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-22,07:28:00,2019-03-22,07:28:00,Fri
547200,620586,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-03-22,08:11:00,2019-03-22,08:14:00,Fri
559830,634575,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-25,07:28:00,2019-03-25,07:27:00,Mon
567259,642971,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,9.0,estimated,Gladstone Branch,NJ Transit,2019-03-25,08:11:00,2019-03-25,08:20:00,Mon
567783,643569,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-03-26,08:11:00,2019-03-26,08:13:00,Tue
574606,651270,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-26,07:28:00,2019-03-26,07:28:00,Tue
576957,653950,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-03-27,08:11:00,2019-03-27,08:13:00,Wed
582290,659975,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-27,07:28:00,2019-03-27,07:27:00,Wed
585331,663403,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-03-28,07:28:00,2019-03-28,07:30:00,Thu
590109,668807,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,5.0,estimated,Gladstone Branch,NJ Transit,2019-03-28,08:11:00,2019-03-28,08:16:00,Thu
591735,670677,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-03-29,07:28:00,2019-03-29,07:27:00,Fri
599361,679238,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,5.0,estimated,Gladstone Branch,NJ Transit,2019-03-29,08:11:00,2019-03-29,08:16:00,Fri
610956,692021,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0000000000000002,estimated,Gladstone Branch,NJ Transit,2019-07-01,07:28:00,2019-07-01,07:29:00,Mon
614016,695667,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-07-01,08:11:00,2019-07-01,08:14:00,Mon
618708,701439,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-02,08:11:00,2019-07-02,08:10:00,Tue
621465,704729,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-02,07:28:00,2019-07-02,07:27:00,Tue
628230,712745,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0000000000000002,estimated,Gladstone Branch,NJ Transit,2019-07-03,08:11:00,2019-07-03,08:12:00,Wed
629281,714011,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-03,07:28:00,2019-07-03,07:28:00,Wed
639053,724879,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0000000000000002,estimated,Gladstone Branch,NJ Transit,2019-07-05,08:11:00,2019-07-05,08:12:00,Fri
644269,731178,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-05,07:28:00,2019-07-05,07:27:00,Fri
654893,743093,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0000000000000002,estimated,Gladstone Branch,NJ Transit,2019-07-08,08:11:00,2019-07-08,08:12:00,Mon
661784,751357,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-08,07:28:00,2019-07-08,07:27:00,Mon
664299,754310,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-09,08:11:00,2019-07-09,08:10:00,Tue
669248,760123,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-09,07:28:00,2019-07-09,07:28:00,Tue
672132,763499,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-10,07:28:00,2019-07-10,07:27:00,Wed
677228,769507,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,17.000000000000004,estimated,Gladstone Branch,NJ Transit,2019-07-10,08:11:00,2019-07-10,08:28:00,Wed
678521,771060,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-11,07:28:00,2019-07-11,07:27:00,Thu
685458,779129,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-07-11,08:11:00,2019-07-11,08:14:00,Thu
686730,780639,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-12,08:11:00,2019-07-12,08:10:00,Fri
694175,789392,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-12,07:28:00,2019-07-12,07:27:00,Fri
705830,803493,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0000000000000004,estimated,Gladstone Branch,NJ Transit,2019-07-15,08:11:00,2019-07-15,08:13:00,Mon
706692,804462,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-15,07:28:00,2019-07-15,07:27:00,Mon
712764,811542,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-16,07:28:00,2019-07-16,07:27:00,Tue
713800,812734,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.000000000000001,estimated,Gladstone Branch,NJ Transit,2019-07-16,08:11:00,2019-07-16,08:15:00,Tue
720058,819935,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0000000000000002,estimated,Gladstone Branch,NJ Transit,2019-07-17,07:28:00,2019-07-17,07:29:00,Wed
722884,823235,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,5.0,estimated,Gladstone Branch,NJ Transit,2019-07-17,08:11:00,2019-07-17,08:16:00,Wed
728001,829329,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,8.000000000000002,estimated,Gladstone Branch,NJ Transit,2019-07-18,08:11:00,2019-07-18,08:19:00,Thu
731057,832900,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-18,07:28:00,2019-07-18,07:27:00,Thu
736697,839481,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0000000000000004,estimated,Gladstone Branch,NJ Transit,2019-07-19,08:11:00,2019-07-19,08:13:00,Fri
737423,840331,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-07-19,07:28:00,2019-07-19,07:31:00,Fri
751793,856831,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,12.0,estimated,Gladstone Branch,NJ Transit,2019-07-22,08:11:00,2019-07-22,08:23:00,Mon
755033,860591,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0000000000000004,estimated,Gladstone Branch,NJ Transit,2019-07-22,07:28:00,2019-07-22,07:30:00,Mon
760431,866863,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,18.0,estimated,Gladstone Branch,NJ Transit,2019-07-23,08:11:00,2019-07-23,08:29:00,Tue
760988,867551,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,15.0,estimated,Gladstone Branch,NJ Transit,2019-07-23,07:28:00,2019-07-23,07:43:00,Tue
764819,871953,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-07-24,08:11:00,2019-07-24,08:14:00,Wed
772046,880346,6406,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-07-24,07:28:00,2019-07-24,07:28:00,Wed
774311,882975,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0000000000000004,estimated,Gladstone Branch,NJ Transit,2019-07-25,08:11:00,2019-07-25,08:13:00,Thu
