index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
3315146,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-17,07:28:00,2018-05-17,07:27:00,Thu
3323870,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-18,07:28:00,2018-05-18,07:27:00,Fri
3324804,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-18,08:11:00,2018-05-18,08:11:00,Fri
3343768,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2018-05-21,08:11:00,2018-05-21,08:13:00,Mon
3344969,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-21,07:28:00,2018-05-21,07:27:00,Mon
3354115,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-22,07:28:00,2018-05-22,07:27:00,Tue
3354899,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-22,08:11:00,2018-05-22,08:10:00,Tue
3361667,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-23,07:28:00,2018-05-23,07:28:00,Wed
3365790,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-23,08:11:00,2018-05-23,08:10:00,Wed
3370863,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-24,07:28:00,2018-05-24,07:27:00,Thu
3376726,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2018-05-24,08:11:00,2018-05-24,08:12:00,Thu
3379609,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-25,07:28:00,2018-05-25,07:27:00,Fri
3388848,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-25,08:11:00,2018-05-25,08:11:00,Fri
3406007,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-29,07:28:00,2018-05-29,07:27:00,Tue
3415220,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-29,08:11:00,2018-05-29,08:10:00,Tue
3416059,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2018-05-30,08:11:00,2018-05-30,08:15:00,Wed
3424691,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-30,07:28:00,2018-05-30,07:27:00,Wed
3427976,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2018-05-31,08:11:00,2018-05-31,08:14:00,Thu
3434103,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-31,07:28:00,2018-05-31,07:27:00,Thu
3438754,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-11-01,07:28:00,2018-11-01,07:27:00,Thu
3442209,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,17.0,estimated,Gladstone Branch,NJ Transit,2018-11-01,08:11:00,2018-11-01,08:28:00,Thu
3447952,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,8.0,estimated,Gladstone Branch,NJ Transit,2018-11-02,08:11:00,2018-11-02,08:19:00,Fri
3451175,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,5.0,estimated,Gladstone Branch,NJ Transit,2018-11-02,07:28:00,2018-11-02,07:33:00,Fri
3464519,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2018-11-05,08:11:00,2018-11-05,08:17:00,Mon
3470502,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,13.0,estimated,Gladstone Branch,NJ Transit,2018-11-05,07:28:00,2018-11-05,07:41:00,Mon
3474527,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,10.0,estimated,Gladstone Branch,NJ Transit,2018-11-06,07:28:00,2018-11-06,07:38:00,Tue
3479926,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,31.0,estimated,Gladstone Branch,NJ Transit,2018-11-06,08:11:00,2018-11-06,08:42:00,Tue
3481908,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-11-07,07:28:00,2018-11-07,07:27:00,Wed
3490422,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2018-11-07,08:11:00,2018-11-07,08:15:00,Wed
